Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1274 052 007 100 074 074
2174 020 076 020 077 070
7124 100 045 020 020 070
4572 011 017 041 072 077
5674 020 012 045 074 074
6174 074 040 055 074 045
7474 060 100 056 074 074
4026 070 010 066 074 056
2427 074 002 077 074 020
1247 045 040 044 074 055
2477 055 050 022 074 040
7142 022 070 100 074 077
4602 042 050 021 074 060
5405 011 011 000 074 010
6222 000 024 042 074 020
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1274 052 007 100 074 074
2174 020 076 020 077 070
7124 100 045 020 020 070
4572 011 017 041 072 077
5674 020 012 045 074 074
6174 074 040 055 074 045
7474 060 100 056 074 074
4026 070 010 066 074 056
2427 074 002 077 074 020
